ioc	iocType	response	mail	origin	Requester	info	confidence	risk
167.224.0.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
167.224.48.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
167.249.200.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
167.74.0.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
167.82.144.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.0.212.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.0.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.11.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.128.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.145.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.146.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.148.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.152.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.157.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.158.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.16.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.160.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.176.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.184.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.192.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.208.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.21.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.216.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.220.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.224.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.228.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.232.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.240.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.248.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.252.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.254.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.28.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.32.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.4.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.43.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.44.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
168.151.48.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
