type	value	source	score	tags
ip	104.194.11.220	Boletines	50	malware_ip
ip	104.194.9.196	Boletines	50	malware_ip
ip	104.21.10.6	Boletines	50	malware_ip
ip	104.21.62.89	Boletines	50	malware_ip
ip	104.21.71.169	Boletines	50	malware_ip
ip	104.223.34.198	Boletines	50	malware_ip
ip	104.225.147.196	Boletines	50	malware_ip
ip	104.237.193.28	Boletines	50	malware_ip
ip	104.243.32.108	Boletines	50	malware_ip
ip	104.243.33.253	Boletines	50	malware_ip
ip	104.243.34.234	Boletines	50	malware_ip
ip	104.243.37.150	Boletines	50	malware_ip
ip	104.243.38.69	Boletines	50	malware_ip
ip	104.243.40.150	Boletines	50	malware_ip
ip	104.243.40.249	Boletines	50	malware_ip
ip	104.243.41.56	Boletines	50	malware_ip
ip	104.243.42.138	Boletines	50	malware_ip
ip	104.243.42.187	Boletines	50	malware_ip
ip	104.243.46.66	Boletines	50	malware_ip
ip	104.244.75.220	Boletines	50	malware_ip
ip	104.244.78.177 	Boletines	50	malware_ip
ip	104.245.241.157	Maltiverse	60	malware_ip
ip	104.245.241.248	Maltiverse	60	malware_ip
ip	104.247.72.180	Boletines	50	malware_ip
ip	104.248.234.27	Boletines	50	malware_ip
ip	104.248.236.115	Boletines	50	malware_ip
ip	104.248.6.232	Boletines	50	malware_ip
ip	104.248.62.170	Maltiverse	60	malware_ip
ip	104.27.128.46	Boletines	50	malware_ip
ip	104.27.129.46	Boletines	50	malware_ip
ip	104.32.141.43	Boletines	50	malware_ip
ip	104.34.212.248	Boletines	50	malware_ip
ip	104.36.229.139	Boletines	50	malware_ip
ip	104.42.43.178	Boletines	50	malware_ip
ip	104.5.49.54	Boletines	50	malware_ip
ip	104.50.141.139	Boletines	50	malware_ip
ip	104.6.92.229	Boletines	50	malware_ip
ip	1.04238E+11	Boletines	50	malware_ip
ip	105.103.27.80	Boletines	50	malware_ip
ip	105.103.33.225	Boletines	50	malware_ip
ip	105.103.50.1	Boletines	50	malware_ip
ip	105.105.104.0	Boletines	50	malware_ip
ip	105.105.232.103	Boletines	50	malware_ip
ip	105.108.80.229	Boletines	50	malware_ip
ip	105.111.45.51	Boletines	50	malware_ip
ip	105.112.98.242	Boletines	50	malware_ip
ip	105.156.152.227	Boletines	50	malware_ip
ip	105.184.161.175	Boletines	50	malware_ip
ip	105.198.236.101	Boletines	50	malware_ip
ip	105.214.85.105	Maltiverse	60	malware_ip
ip	105.224.170.204	Boletines	50	malware_ip
ip	105.27.172.6	Boletines	50	malware_ip
ip	105.69.147.88	Boletines	50	malware_ip
ip	105.96.207.25	Boletines	50	malware_ip
ip	105.99.70.43	Maltiverse	60	malware_ip
ip	1.05247E+11	Boletines	50	malware_ip
ip	106.250.150.98	Boletines	50	malware_ip
ip	106.3.43.75	Boletines	50	malware_ip
ip	106.3.44.107	Boletines	50	malware_ip
ip	106.51.48.249	Boletines	50	malware_ip
ip	106.51.49.236	Boletines	50	malware_ip
ip	106.53.120.204	Boletines	50	malware_ip
ip	106.59.0.224	Maltiverse	60	malware_ip
ip	106.7.142.158	Maltiverse	60	malware_ip
ip	106.75.31.237	Boletines	50	malware_ip
ip	106.75.75.245	Boletines	50	malware_ip
ip	106.75.76.179	Boletines	50	malware_ip
ip	107.10.139.119	Boletines	50	malware_ip
ip	107.146.147.235	Boletines	50	malware_ip
ip	107.148.162.237	Boletines	50	malware_ip
ip	107.148.177.37	Maltiverse	60	malware_ip
ip	107.150.110.233	Boletines	50	malware_ip
ip	107.150.112.211	Boletines	50	malware_ip
